# skilleye imu stream v1
# device=xiao_esp32c6 imu=mpu6050 addr=0x68
# rate_hz=200 accel_range_g=16 gyro_range_dps=2000 dlpf_hz=94
# units: accel in g, gyro in deg/s, t_us in microseconds since boot (monotonic)
# no shared clock with the camera -- tap the racket once before each take
# so both recordings share a spike to align on
seq,t_us,ax,ay,az,gx,gy,gz
0,1270197853,0.6265,1.0239,0.3398,36.59,-16.22,-26.16
1,1270202632,0.6709,1.1147,0.3481,41.22,-17.13,-24.82
2,1270207628,0.7148,1.2046,0.3496,43.48,-17.68,-23.29
3,1270212645,0.7661,1.2871,0.3438,43.17,-17.80,-21.59
4,1270217629,0.8228,1.3799,0.3228,40.55,-17.87,-19.63
5,1270222631,0.8774,1.4678,0.3076,36.22,-17.26,-17.44
6,1270227628,0.9214,1.5400,0.2842,30.18,-16.52,-14.94
7,1270232630,0.9678,1.6040,0.2808,22.99,-15.43,-12.01
8,1270237628,1.0137,1.6499,0.2666,15.30,-14.21,-8.78
9,1270242629,1.0444,1.6772,0.2700,7.56,-12.80,-5.24
10,1270247629,1.0747,1.6812,0.2832,0.06,-11.10,-1.71
11,1270252630,1.0723,1.6514,0.3091,-7.20,-9.27,1.83
12,1270257629,1.0557,1.6167,0.3394,-14.33,-7.93,5.18
13,1270262627,1.0352,1.5654,0.3726,-21.10,-6.46,8.41
14,1270267627,1.0024,1.5234,0.3833,-26.65,-5.37,11.16
15,1270272629,0.9707,1.4653,0.4053,-30.79,-4.51,13.90
16,1270277629,0.9395,1.4077,0.4097,-32.50,-3.72,16.40
17,1270282629,0.9238,1.3481,0.4185,-31.95,-3.11,18.60
18,1270287629,0.8872,1.2764,0.4351,-29.21,-2.32,20.61
19,1270292629,0.8423,1.2144,0.4434,-25.30,-1.71,22.20
20,1270297628,0.7993,1.1479,0.4561,-20.98,-0.91,23.35
21,1270302631,0.7490,1.0811,0.4629,-17.20,-0.30,24.15
22,1270307628,0.6924,1.0015,0.4688,-14.45,0.30,24.70
23,1270312629,0.6104,0.9268,0.4790,-13.17,0.73,25.00
24,1270317628,0.5361,0.8589,0.4897,-13.41,1.10,25.30
25,1270322896,0.4771,0.7979,0.5044,-14.88,1.28,25.61
